Status,Other,Other-clean,
Professor / Associate professor / Assistant professor,Cytoscape,Cytoscape,
Professor / Associate professor / Assistant professor,Cytoscape,Cytoscape,
Professor / Associate professor / Assistant professor,Cytoscape,Cytoscape,
Professor / Associate professor / Assistant professor,Cytoscape,Cytoscape,
Professor / Associate professor / Assistant professor,Cytoscape,Cytoscape,
PhD student,D3.js,D3.js,
Postdoc,D3.js,D3.js,
Other,DALI,DALI,
Professor / Associate professor / Assistant professor,dapc,dapc,
Professor / Associate professor / Assistant professor,databases,databases,
Librarian,databases tables,databases,
Professor / Associate professor / Assistant professor,DAVID,DAVID,
Professor / Associate professor / Assistant professor,DAVID,DAVID,
Professor / Associate professor / Assistant professor,dChip,dChip,
Professor / Associate professor / Assistant professor,dedicated software,software,
Professor / Associate professor / Assistant professor,dedicated tools for my research discipline,software,
Bachelor/Master student,Dedoose,Dedoose,
Postdoc,Dedoose,Dedoose,
Professor / Associate professor / Assistant professor,Delphi,Delphi,
Professor / Associate professor / Assistant professor,DELTA,DeltaGraph,
Other,DeltaGraph,DeltaGraph,
Professor / Associate professor / Assistant professor,DeltaGraph,DeltaGraph,
Professor / Associate professor / Assistant professor,DeltaGraph,DeltaGraph,
Other,Design Expert,Design Expert,
PhD student,Design Expert,Design Expert,
Professor / Associate professor / Assistant professor,Design Expert,Design Expert,
Other,DIADEM,DIADEM,
Postdoc,Diction,Diction,
PhD student,digimizer,digimizer,
Professor / Associate professor / Assistant professor,Discovery Studio,Discovery Studio,
PhD student,Distance,Distance,
Professor / Associate professor / Assistant professor,Distance,Distance,
Industry / Government,DNA analysis software,DNA analysis software,
Professor / Associate professor / Assistant professor,DNAsis,DNAsis,
Other,DocFher,DocFher,
Postdoc,docuburst,docuburst,
Bachelor/Master student,dot.net framework,dot.net framework,
Postdoc,Dotmatics Vortex,Dotmatics Vortex,
Industry / Government,Dropbox,Dropbox,
Industry / Government,E-surge,E-surge,
Postdoc,EBSEQ,EBSEQ,
Bachelor/Master student,Eclipse,Eclipse,
Postdoc,eCognition,eCognition,
Industry / Government,Ecosim,Ecosim,
Postdoc,Emacs,Emacs,
Postdoc,Emacs,Emacs,
Postdoc,Emacs,Emacs,
Other,EndNote,EndNote,
Postdoc,EndNote,EndNote,
Postdoc,EndNote,EndNote,
Professor / Associate professor / Assistant professor,EndNote,EndNote,
Professor / Associate professor / Assistant professor,EndNote,EndNote,
Postdoc,ENVI,ENVI,
Professor / Associate professor / Assistant professor,ENVI,ENVI,
Professor / Associate professor / Assistant professor,ENVI,ENVI,
Postdoc,epacts,epacts,
Industry / Government,Epi-Info,Epi-Info,
Other,Epi-Info,Epi-Info,
PhD student,Epi-Info,Epi-Info,
PhD student,Epi-Info,Epi-Info,
PhD student,Epi-Info,Epi-Info,
PhD student,Epi-Info,Epi-Info,
Professor / Associate professor / Assistant professor,Epi-Info,Epi-Info,
Professor / Associate professor / Assistant professor,Epi-Info,Epi-Info,
Professor / Associate professor / Assistant professor,EpiDat,EpiDat,
Bachelor/Master student,Eppi-reviewer,Eppi-reviewer,
Professor / Associate professor / Assistant professor,ePrime,ePrime,
Bachelor/Master student,ERDAS,ERDAS,
Other,ERDAS,ERDAS,
Postdoc,ERDAS,ERDAS,
Postdoc,ESOM,ESOM,
Bachelor/Master student,ESRI ArcGIS,ESRI ArcGIS,
PhD student,ess,EstimateS,
Other,EstimateS,EstimateS,
Other,EstimateS,EstimateS,
Other,EstimateS,EstimateS,
Postdoc,EstimateS,EstimateS,
Librarian,Evernote,Evernote,
Postdoc,evolutionary molecular analysis software,Molecular Evolution tools,
PhD student,ExPASy.org,ExPASy.org,
Professor / Associate professor / Assistant professor,Experstat,Experstat,
Postdoc,F-stat,F-stat,
Professor / Associate professor / Assistant professor,Factor,Factor,
Postdoc,FASTX,FastX Toolkit,
Postdoc,FastX Toolkit,FastX Toolkit,
Professor / Associate professor / Assistant professor,Fcs express,Fcs express,
Other,FEBio,FEBio,
Postdoc,FigTree,FigTree,
Professor / Associate professor / Assistant professor,FigTree,FigTree,
Other,FiJi,FiJi,
PhD student,FiJi,FiJi,
PhD student,FiJi,FiJi,
PhD student,FiJi,FiJi,
PhD student,FiJi,FiJi,
PhD student,FiJi,FiJi,
Postdoc,FiJi,FiJi,
Postdoc,FiJi,FiJi,
Postdoc,FiJi,FiJi,
Professor / Associate professor / Assistant professor,FiJi,FiJi,
Professor / Associate professor / Assistant professor,FiJi,FiJi,
Professor / Associate professor / Assistant professor,FiJi,FiJi,
Professor / Associate professor / Assistant professor,FiJi,FiJi,
Professor / Associate professor / Assistant professor,FiJi,FiJi,
Bachelor/Master student,FileMaker,FileMaker,
Librarian,FileMaker,FileMaker,
Librarian,FileMaker,FileMaker,
Professor / Associate professor / Assistant professor,FileMaker,FileMaker,
PhD student,fish shell,fish shell,
Professor / Associate professor / Assistant professor,FitMaster,FitMaster,
Industry / Government,Fitopac,Fitopac,
Postdoc,Flowing Software 4.1,Flowing Software 4.1,
Other,FlowJo,FlowJo,
Other,FlowJo,FlowJo,
PhD student,FlowJo,FlowJo,
PhD student,FlowJo,FlowJo,
PhD student,FlowJo,FlowJo,
PhD student,FlowJo,FlowJo,
Postdoc,FlowJo,FlowJo,
Postdoc,FlowJo,FlowJo,
Postdoc,FlowJo,FlowJo,
Professor / Associate professor / Assistant professor,FlowJo,FlowJo,
PhD student,FOAMed community,FOAMed community,
Other,Fortran,Fortran,
Other,Fortran,Fortran,
Other,Fortran,Fortran,
Other,Fortran,Fortran,
PhD student,Fortran,Fortran,
Postdoc,Fortran,Fortran,
Professor / Associate professor / Assistant professor,Fortran,Fortran,
Professor / Associate professor / Assistant professor,Fortran,Fortran,
Professor / Associate professor / Assistant professor,Fortran,Fortran,
Professor / Associate professor / Assistant professor,fow cytometry analysis sofware,fow cytometry analysis software,
Professor / Associate professor / Assistant professor,free software,software,
Other,free statistical analysis websites,online statistics & analysis tools,
Professor / Associate professor / Assistant professor,freebayes,freebayes,
Professor / Associate professor / Assistant professor,FreeCalc,FreeCalc,
Postdoc,freely available scripts/programs/pipelines provided by other groups/researcher,code,
PhD student,FreeMind,FreeMind,
Postdoc,Freeplane,Freeplane,
Postdoc,Freesurfer,Freesurfer,
Postdoc,Freesurfer,Freesurfer,
Professor / Associate professor / Assistant professor,freeware bioinformatic tools,bioinformatic tools,
PhD student,freeware programs,software,
PhD student,FSL,FSL,
Postdoc,FSL,FSL,
Postdoc,FSL,FSL,
Postdoc,FSL,FSL,
Postdoc,FSL,FSL,
PhD student,G Power,G Power,
Postdoc,G Power,G Power,
Professor / Associate professor / Assistant professor,G Power,G Power,
PhD student,Galaxy,Galaxy,
Postdoc,Galaxy,Galaxy,
Postdoc,Galaxy,Galaxy,
Postdoc,Galaxy,Galaxy,
Postdoc,Galaxy,Galaxy,
Professor / Associate professor / Assistant professor,Galaxy,Galaxy,
Professor / Associate professor / Assistant professor,Galaxy,Galaxy,
Professor / Associate professor / Assistant professor,Galaxy,Galaxy,
PhD student,Gams,Gams,
Professor / Associate professor / Assistant professor,GARLI,GARLI,
PhD student,GCTA / GREML,GCTA / GREML,
Industry / Government,GDAL,GDAL,
Postdoc,GDAL,GDAL,
Postdoc,GelCompar,GelCompar,
Bachelor/Master student,Gelpro,Gelpro,
Postdoc,Gemma,Gemma,
PhD student,GenAlex,GenAlex,
Postdoc,GenBank,GenBank,
Professor / Associate professor / Assistant professor,GenBank,GenBank,
PhD student,Gene Card,Gene Card,
Professor / Associate professor / Assistant professor,Gene construction kit,Gene construction kit,
PhD student,GeneAlex,GeneAlex,
Professor / Associate professor / Assistant professor,GeneE,GeneE,
Other,Geneious,Geneious,
Other,Geneious,Geneious,
PhD student,Geneious,Geneious,
Postdoc,Geneious,Geneious,
Postdoc,Geneious,Geneious,
Postdoc,Geneious,Geneious,
Professor / Associate professor / Assistant professor,Geneious,Geneious,
Professor / Associate professor / Assistant professor,Geneious,Geneious,
Professor / Associate professor / Assistant professor,Geneious,Geneious,
PhD student,Geneman,Geneman,
Professor / Associate professor / Assistant professor,GeneNetwork,GeneNetwork,
Postdoc,Genepop,Genepop,
Postdoc,Genepop,Genepop,
Professor / Associate professor / Assistant professor,Genepop,Genepop,
